"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","812152651776","256.24","United States"
"2","Toyota","TM","217192415232","160.11","Japan"
"3","Porsche","P911.DE","108618530000","119.23","Germany"
"4","BYD","002594.SZ","100956288801","36.05","China"
"5","Mercedes-Benz","MBG.DE","84621296591","79.1","Germany"
"6","BMW","BMW.DE","78007366455","119.81","Germany"
"7","Volkswagen","VOW3.DE","74537476969","132.72","Germany"
"8","Ford","F","59171389440","14.79","United States"
"9","Ferrari","RACE","57785733120","317.96","Italy"
"10","General Motors","GM","53088677888","38.19","United States"
"11","Stellantis","STLA","52837945344","16.92","Netherlands"
"12","Honda","HMC","50599354368","30.55","Japan"
"13","Hyundai","HYMTF","35895508992","40.86","South Korea"
"14","Maruti Suzuki India","MARUTI.NS","35153255773","116.37","India"
"15","Li Auto","LI","34269597696","35.07","China"
"16","Kia","000270.KS","26209766313","66.19","South Korea"
"17","Tata Motors","TATAMOTORS.NS","25944477855","7.16","India"
"18","Great Wall Motors","601633.SS","23928937765","3.45","China"
"19","SAIC Motor","600104.SS","22869154789","1.96","China"
"20","Mahindra &amp; Mahindra","M&M.NS","21231019439","17.02","India"
"21","Suzuki Motor","7269.T","17081218417","35.14","Japan"
"22","NIO","NIO","16549568512","9.52","China"
"23","Chongqing Changan","000625.SZ","15761770914","1.81","China"
"24","Nissan","7201.T","15168115661","3.87","Japan"
"25","Subaru","7270.T","14474939397","18.87","Japan"
"26","Hotai Motor","2207.TW","14317518738","26.21","Taiwan"
"27","Rivian","RIVN","13751864320","14.64","United States"
"28","Lucid Motors","LCID","12890011648","6.42","United States"
"29","GAC (Guangzhou Automobile Group)","601238.SS","12436623270","1.44","China"
"30","Geely","0175.HK","12036142818","1.2","China"
"31","Volvo Car","VOLCAR-B.ST","11714345638","3.93","Sweden"
"32","Renault","RNO.PA","11469672036","39.75","France"
"33","Ford Otosan","FROTO.IS","10510067241","29.95","Turkey"
"34","XPeng","XPEV","10290147328","11.78","China"
"35","Isuzu","7202.T","9404039646","12.13","Japan"
"36","Polestar","PSNY","7933374464","3.76","Sweden"
"37","Polaris","PII","6729774592","118.26","United States"
"38","Leapmotor","9863.HK","6490744000","5.56","China"
"39","Mazda","7261.T","6039094958","9.59","Japan"
"40","FAW Car","000800.SZ","5354325608","1.15","China"
"41","Tofaş Türk Otomobil Fabrikası","TOASO.IS","5184445406","9.94","Turkey"
"42","Mitsubishi Motors","7211.T","5065215110","3.4","Japan"
"43","Dongfeng Motor","0489.HK","3846517205","0.45","China"
"44","Aston Martin","AML.L","3098546219","4.26","United Kingdom"
"45","Fisker","FSR","1727217920","5.23","United States"
"46","Nikola","NKLA","831472896","1.16","United States"
"47","Force Motors","FORCEMOT.NS","469333298","32.77","India"
"48","Faraday Future","FFIE","305712544","0.2197","United States"
"49","Kandi Technologies Group","KNDI","296018912","3.99","China"
"50","Canoo","GOEV","218740416","0.4343","United States"
"51","REE Automotive","REE","94270328","0.385","Israel"
"52","Cenntro Electric Group","CENN","75700928","0.2897","United States"
"53","Electra Meccanica","SOLO","73779624","0.6185","Canada"
"54","Arrival","ARVL","48276096","2.64","United Kingdom"
"55","Lordstown Motors","RIDE","35439980","2.11","United States"
"56","Mullen Automotive","MULN","26816838","0.1101","United States"
"57","Sono","SEV","26597430","0.2843","Germany"
"58","Atlis Motor Vehicles","AMV","17826192","0.5022","United States"
"59","Phoenix Motor","PEV","14478492","0.68","United States"
"60","Arcimoto","FUV","11300905","1.54","United States"
